Name,City,2016,2017,2018
A Y Jackson Secondary School,NORTH YORK,12.8,12.5,12.1
Agincourt Collegiate Institute,AGINCOURT,11.6,10.7,10.9
All Saints Catholic High School,KANATA,,10.5,
Ancaster High School,ANCASTER,,,21.2
Bell High School,NEPEAN,9.1,10.8,11.4
Bishop Macdonell Catholic High School,GUELPH,,,22.6
Bishop Tonnos Catholic Secondary School,ANCASTER,,21.1,
Centennial Collegiate Vocational Institute,GUELPH,,,12.3
Colonel By Secondary School,GLOUCESTER,11.9,11,12.3
Don Mills Collegiate Institute,DON MILLS,10.6,10.3,9.9
Dr Norman Bethune Collegiate Institute,AGINCOURT,10.3,10,11
Earl of March Secondary School,KANATA,,,10.5
Eastwood Collegiate Institute,KITCHENER,,21.9,21.9
Elmira District Secondary School,ELMIRA,11,10.4,12.1
Forest Heights Collegiate Institute,KITCHENER,13.1,13.5,
Galt Collegiate Institute - Vocational School,CAMBRIDGE,22.3,21.9,21
George S Henry Academy,NORTH YORK,22.7,23,21.5
Governor Simcoe Secondary School,ST CATHARINES,,,19.8
Great Lakes College of Toronto,TORONTO,,25,25.3
Grimsby Secondary School,GRIMSBY,28.3,27.2,27.1
Guelph Collegiate Vocational Institute,GUELPH,,10.6,
Hamilton District Christian High School,ANCASTER,12.5,13.1,12.8
Jarvis Collegiate Institute,TORONTO,21.6,21.3,22.2
King's Christian Collegiate,OAKVILLE,25.5,22.3,23
L'Amoreaux Collegiate Institute,AGINCOURT,,10.6,9.1
Lawrence Park Collegiate Institute,TORONTO,,10.8,10
Lester B Pearson Collegiate Institute,SCARBOROUGH,20.5,19.5,
Lisgar Collegiate Institute,OTTAWA,12,12.8,
London Central Secondary School,LONDON,,,11.5
Marc Garneau Collegiate Institute,DON MILLS,,,12.8
Markham District High School,MARKHAM,13.7,13.7,
Markville Secondary School,MARKHAM,,,13
Martingrove Collegiate Institute,ETOBICOKE,12.1,11.9,13.1
Milliken Mills High School,UNIONVILLE,11.5,11.5,11.3
Milton District High School,MILTON,11.8,,
Nepean High School,OTTAWA,11.4,10.9,9.9
Newmarket High School,NEWMARKET,12.9,,
North Albion Collegiate Institute,ETOBICOKE,21.9,21.2,21.4
North Park Secondary School,BRAMPTON,,19.6,
Northern Secondary School,TORONTO,,,13.4
Northview Heights Secondary School,NORTH YORK,10.5,9.4,10.3
Notre Dame Secondary School,BRAMPTON,22.1,21.8,21.2
Orchard Park Secondary School,STONEY CREEK,13.8,,
Pickering High School,AJAX,,12.3,12.7
Pierre Elliott Trudeau High School,MARKHAM,11,10.7,11
Richmond Hill High School,RICHMOND HILL,12.8,12.3,11.8
Robert Bateman High School,BURLINGTON,,20.5,20.8
Silverthorn Collegiate Institute,ETOBICOKE,,,20
Sinclair Secondary School,WHITBY,,12.8,
Sir John A Macdonald Collegiate Institute,AGINCOURT,11.2,10.9,10.7
Sir Wilfrid Laurier Collegiate Institute,SCARBOROUGH,,20.9,20.1
Sir Winston Churchill Secondary School,ST CATHARINES,23.6,23.9,19.9
Southern Ontario College,HAMILTON,25.4,25.9,25.9
St Aloysius Gonzaga Secondary School,MISSISSAUGA,12.5,,12.8
St David Catholic Secondary School,WATERLOO,,21.8,20.4
St Louis Adult Learning Centre,KITCHENER,27.1,,
St Michael High School,NIAGARA FALLS,23.3,23.7,
St Peter's Secondary School,PETERBOROUGH,,24,22.9
St Robert Catholic High School,THORNHILL,14.2,,
St Theresa Lisieux Catholic High School,RICHMOND HILL,,13.2,13
St Thomas Aquinas Secondary School,OAKVILLE,,26,24.7
Stephen Lewis Secondary School,MISSISSAUGA,11.9,11.7,12.4
Streetsville Secondary School,STREETSVILLE,,12,
Thornhill Secondary School,THORNHILL,13.5,13.2,12
Turner Fenton Secondary School,BRAMPTON,19.4,19.4,18.2
Unionville High School,UNIONVILLE,13.7,13.2,13
Vaughan Secondary School,THORNHILL,23.9,,
Vincent Massey Secondary School,WINDSOR,,11.3,
Waterloo Collegiate Institute,WATERLOO,14,,
William Lyon Mackenzie Collegiate Institute,NORTH YORK,,,13.6
Woodland Christian High School,BRESLAU,,,19.8
York Memorial Collegiate Institute,TORONTO,,,11.1
York Mills Collegiate Institute,DON MILLS,13.5,12.3,13.2
Any other Ontario school,Ontario,16.5,16.3,16.1
